cell,row,col,nplace,entropy_nats,n_eff,top_piece,top_prob
76,4,12,784,6.6592,779.94,214,0.0017
77,4,13,784,6.6565,777.82,214,0.0020
78,4,14,784,6.5507,699.71,203,0.0031
79,4,15,56,4.0182,55.60,53,0.0218
80,5,0,56,4.0174,55.56,57,0.0222
81,5,1,784,6.5350,688.83,124,0.0037
82,5,2,784,6.6564,777.75,214,0.0018
83,5,3,784,6.6589,779.72,206,0.0017
84,5,4,784,6.6581,779.04,207,0.0017
85,5,5,784,6.6580,779.02,206,0.0017
86,5,6,784,6.6580,779.02,206,0.0017
87,5,7,784,6.6580,779.02,206,0.0017
88,5,8,784,6.6580,779.02,206,0.0017
89,5,9,784,6.6580,779.02,206,0.0017
90,5,10,784,6.6580,779.03,206,0.0017
91,5,11,784,6.6581,779.04,206,0.0017
92,5,12,784,6.6584,779.30,206,0.0017
93,5,13,784,6.6559,777.34,214,0.0019
94,5,14,784,6.5482,697.97,231,0.0031
95,5,15,56,4.0180,55.59,9,0.0222
96,6,0,56,4.0170,55.53,57,0.0222
97,6,1,784,6.5334,687.73,251,0.0037
98,6,2,784,6.6564,777.76,213,0.0018
99,6,3,784,6.6587,779.53,214,0.0017
100,6,4,784,6.6589,779.69,221,0.0017
101,6,5,784,6.6586,779.48,221,0.0017
102,6,6,784,6.6586,779.49,221,0.0017
103,6,7,784,6.6586,779.48,221,0.0017
104,6,8,784,6.6586,779.49,221,0.0017
105,6,9,784,6.6586,779.49,221,0.0017
106,6,10,784,6.6586,779.50,221,0.0017
107,6,11,784,6.6587,779.51,221,0.0017
108,6,12,784,6.6590,779.77,221,0.0017
109,6,13,784,6.6563,777.68,214,0.0019
110,6,14,784,6.5487,698.34,231,0.0032
111,6,15,56,4.0182,55.60,53,0.0216
112,7,0,56,4.0167,55.52,57,0.0227
113,7,1,784,6.5376,690.62,251,0.0035
114,7,2,784,6.6567,778.02,213,0.0017
115,7,3,784,6.6598,780.42,207,0.0016
116,7,4,784,6.6591,779.88,214,0.0017
117,7,5,784,6.6591,779.85,214,0.0017
118,7,6,784,6.6590,779.76,214,0.0017
119,7,7,784,6.6590,779.75,214,0.0017
120,7,8,784,6.6590,779.75,214,0.0017
121,7,9,784,6.6590,779.75,214,0.0017
122,7,10,784,6.6590,779.76,214,0.0017
123,7,11,784,6.6590,779.77,214,0.0017
124,7,12,784,6.6593,779.98,214,0.0017
125,7,13,784,6.6563,777.63,214,0.0019
126,7,14,784,6.5483,698.08,203,0.0031
127,7,15,56,4.0184,55.61,9,0.0215
128,8,0,56,4.0164,55.50,57,0.0227
129,8,1,784,6.5362,689.67,251,0.0035
130,8,2,784,6.6568,778.06,213,0.0018
131,8,3,784,6.6591,779.86,214,0.0017
132,8,4,784,6.6600,780.55,214,0.0016
133,8,5,784,6.6598,780.42,206,0.0017
134,8,6,784,6.6598,780.38,206,0.0017
135,8,7,784,6.6598,780.36,206,0.0017
136,8,8,784,6.6598,780.36,206,0.0017
137,8,9,784,6.6598,780.36,206,0.0017
138,8,10,784,6.6598,780.37,206,0.0017
139,8,11,784,6.6598,780.37,206,0.0017
140,8,12,784,6.6601,780.60,214,0.0017
141,8,13,784,6.6575,778.63,214,0.0019
142,8,14,784,6.5479,697.75,231,0.0031
143,8,15,56,4.0182,55.60,9,0.0217
144,9,0,56,4.0161,55.49,57,0.0225
145,9,1,784,6.5364,689.77,251,0.0036
146,9,2,784,6.6558,777.24,214,0.0018
147,9,3,784,6.6593,780.03,221,0.0017
148,9,4,784,6.6591,779.81,206,0.0017
149,9,5,784,6.6588,779.60,206,0.0017
150,9,6,784,6.6587,779.52,206,0.0017
151,9,7,784,6.6587,779.53,206,0.0017
152,9,8,784,6.6587,779.51,206,0.0017
153,9,9,784,6.6587,779.52,206,0.0017
154,9,10,784,6.6587,779.53,206,0.0017
155,9,11,784,6.6587,779.53,206,0.0017
156,9,12,784,6.6590,779.79,206,0.0017
157,9,13,784,6.6561,777.52,213,0.0019
158,9,14,784,6.5485,698.19,182,0.0032
159,9,15,56,4.0177,55.57,9,0.0218
160,10,0,56,4.0158,55.47,57,0.0234
161,10,1,784,6.5355,689.18,203,0.0034
162,10,2,784,6.6545,776.25,214,0.0019
163,10,3,784,6.6591,779.83,214,0.0017
164,10,4,784,6.6588,779.62,206,0.0017
165,10,5,784,6.6584,779.30,206,0.0017
166,10,6,784,6.6584,779.30,206,0.0017
167,10,7,784,6.6584,779.30,206,0.0017
168,10,8,784,6.6584,779.30,206,0.0017
169,10,9,784,6.6584,779.30,206,0.0017
170,10,10,784,6.6584,779.31,206,0.0017
171,10,11,784,6.6584,779.32,206,0.0017
172,10,12,784,6.6587,779.57,206,0.0017
173,10,13,784,6.6563,777.70,213,0.0019
174,10,14,784,6.5507,699.72,241,0.0031
175,10,15,56,4.0179,55.59,57,0.0220
176,11,0,56,4.0164,55.50,57,0.0226
177,11,1,784,6.5381,691.00,177,0.0033
178,11,2,784,6.6560,777.43,214,0.0018
179,11,3,784,6.6598,780.43,213,0.0016
180,11,4,784,6.6590,779.73,213,0.0017
181,11,5,784,6.6596,780.23,213,0.0016
182,11,6,784,6.6596,780.20,213,0.0017
183,11,7,784,6.6595,780.18,213,0.0017
184,11,8,784,6.6595,780.18,213,0.0017
185,11,9,784,6.6595,780.18,213,0.0017
186,11,10,784,6.6595,780.19,213,0.0017
187,11,11,784,6.6595,780.19,213,0.0017
188,11,12,784,6.6598,780.40,213,0.0016
189,11,13,784,6.6570,778.18,213,0.0019
190,11,14,784,6.5489,698.50,231,0.0031
191,11,15,56,4.0186,55.62,57,0.0218
192,12,0,56,4.0172,55.54,37,0.0223
193,12,1,784,6.5404,692.58,251,0.0035
194,12,2,784,6.6570,778.20,196,0.0018
195,12,3,784,6.6610,781.30,213,0.0016
196,12,4,784,6.6607,781.08,213,0.0016
197,12,5,784,6.6599,780.45,221,0.0016
198,12,6,784,6.6602,780.74,213,0.0016
199,12,7,784,6.6599,780.50,221,0.0016
200,12,8,784,6.6600,780.58,221,0.0016
201,12,9,784,6.6600,780.57,221,0.0016
202,12,10,784,6.6600,780.58,221,0.0016
203,12,11,784,6.6600,780.59,147,0.0016
204,12,12,784,6.6604,780.83,221,0.0016
205,12,13,784,6.6580,778.95,213,0.0018
206,12,14,784,6.5495,698.88,227,0.0030
207,12,15,56,4.0186,55.62,57,0.0227
208,13,0,56,3.9964,54.40,7,0.0263
209,13,1,784,6.5061,669.23,173,0.0051
210,13,2,784,6.6519,774.27,144,0.0020
211,13,3,784,6.6575,778.64,213,0.0019
212,13,4,784,6.6559,777.38,213,0.0020
213,13,5,784,6.6560,777.42,213,0.0019
214,13,6,784,6.6562,777.55,213,0.0019
215,13,7,784,6.6562,777.62,213,0.0019
216,13,8,784,6.6563,777.64,213,0.0019
217,13,9,784,6.6563,777.65,213,0.0019
218,13,10,784,6.6563,777.67,213,0.0019
219,13,11,784,6.6563,777.70,213,0.0019
220,13,12,784,6.6568,778.09,213,0.0019
221,13,13,784,6.6541,775.97,238,0.0018
222,13,14,784,6.5478,697.69,240,0.0033
223,13,15,56,4.0126,55.29,35,0.0240
224,14,0,33,3.3793,29.35,6,0.0632
225,14,1,652,5.9868,398.12,110,0.0103
226,14,2,784,6.5263,682.86,251,0.0037
227,14,3,784,6.5400,692.31,251,0.0034
228,14,4,784,6.5394,691.85,251,0.0035
229,14,5,784,6.5395,691.96,251,0.0034
230,14,6,784,6.5393,691.83,251,0.0034
231,14,7,784,6.5394,691.87,251,0.0034
232,14,8,784,6.5393,691.83,251,0.0034
233,14,9,784,6.5393,691.82,251,0.0034
234,14,10,784,6.5394,691.85,251,0.0034
235,14,11,784,6.5393,691.79,251,0.0034
236,14,12,784,6.5390,691.61,251,0.0034
237,14,13,784,6.5052,668.61,173,0.0048
238,14,14,739,5.9944,401.18,110,0.0101
239,14,15,34,3.4456,31.36,34,0.0601
240,15,0,4,1.3707,3.94,1,0.3138
241,15,1,34,3.4431,31.28,30,0.0607
242,15,2,56,4.0137,55.35,29,0.0237
243,15,3,56,4.0192,55.66,53,0.0231
244,15,4,56,4.0147,55.41,9,0.0233
245,15,5,56,4.0146,55.40,53,0.0229
246,15,6,56,4.0150,55.42,13,0.0236
247,15,7,56,4.0144,55.39,13,0.0234
248,15,8,56,4.0140,55.37,13,0.0236
249,15,9,56,4.0138,55.36,13,0.0235
250,15,10,56,4.0138,55.36,13,0.0235
251,15,11,56,4.0137,55.35,13,0.0235
252,15,12,56,4.0144,55.39,13,0.0232
253,15,13,56,3.9946,54.30,58,0.0254
254,15,14,33,3.3940,29.78,6,0.0621
255,15,15,4,1.3729,3.95,1,0.3057
